original_sponsor,clustered_sponsor
MERCHANT TAILOR'S SOCIETY OF THE CITY OF NEW YORK,Merchant Tailor's Society Of The City Of New York
QUILL AND DAGGER,Quill And Dagger
MIRAMAR HOTEL,Miramar Hotel
Cie Gle TRANSATLANTIQUE,Cie Gle Transatlantique
NEW ENGLAND SOCIETY,New England Society
U.S. CRUISER BROOKLYN,U.S. Cruiser Brooklyn
HOTEL VENDOME AND PROFILE HOUSE,Hotel Vendome And Profile House
NEW ENGLAND SOCIETY IN THE CITY OF NEW YORK,New England Society
MUSICA DEGLI ALLIEVI CARABINIERE,Musica Degli Allievi Carabiniere
CHI PHI ASSOCIATION IN THE CITY OF NEW YORK,Chi Phi Association In The City Of New York
SMITH & MCNELLS,Smith & Mc Nells
LIPPE'S RESTAIRAMT,Lippe's Restairamt
FIRST AND SECOND COMPANIES GOVERNOR'S FOOT GUARDS,First And Second Companies Governor's Foot Guards
CONGREGATIONAL CLUB,Congregational Club
PEOPLE OF THE STATE OF LOUISIANA,People Of The State Of Louisiana
THE MERCHANTS CLUB OF CHICAGO,The Merchant's Club
COLLEGIATE CLUB,Collegiate Club
HUDSON COUNTY GRAND JURY,Hudson County Grand Jury
ST. STEPHEN'S PARISH,St. Stephen's Parish
(HORNE MARKET?) CLUB,(horne Market?) Club
AMERICAN MEMBERS OF THE WORLD'S COLUMBIAN DENTAL CONGRESS,American Members Of The World's Columbian Dental Congress
JAMESTOWN EXPOSITION COMPANY,Jamestown Exposition Company
J.C. HARTMANN RESTAURANTS AND CAFE,J.C. Hartmann Restaurants And Cafe
JCIGAR LEAF TOBACCO BOARD OF TRADE OF THE UNITED STATES,Jcigar Leaf Tobacco Board Of Trade Of The United States
KALIL'S RESTAURANT,Kalil's Restaurant
EVELYN RESTAURANT; THE,Evelyn Restaurant
PHI CHAPTER ASSOCIATION OF ZETA PSI,Phi Chapter Association Of Zeta Psi
COLUMBIA UNIVERSITY RESTAUANT,Columbia University Club
(FRANK JONES BREWING CO.),(frank Jones Brewing Co.)
ANDERIDA LODGE 2434,Anderida Lodge 2434
HOTEL MINOT,Hotel Minot
da Flavio Ristorante Antico Boeucc,Da Flavio Ristorante Antico Boeucc
Grand Hotel Central,Grand Hotel Central
Hotel u. Restaurant Goldener Hirsch,Hotel U. Restaurant Goldener Hirsch
Ghirardelli Soda Fountain & Candy Shop,Ghirardelli Soda Fountain & Candy Shop
Le Cirque,Le Cirque
Aurora,Aurora
Brussels Restaurant,Brussels Restaurant
Charley Brown's,Charley Brown's
Schwarzwalders Natur Weinhaus,Schwarzwalder's Natur Weinhaus
Restaurant Lucas Carton,Restaurant Lucas Carton
'The California Limited,'the California Limited
San Francisco Chamber of Commerce,San Francisco Chamber Of Commerce
'(Harvard University?)   New American House,'(harvard University?)   New American House
Deutschen Haus,Deutschen Haus
La Maison Du Boeuf,La Maison Du Boeuf
Keen's English Chop House,Keen's English Chop House
Wisconsin Club,Wisconsin Club
Scandia Restaurant,Scandia Restaurant
Eola Hotel Grill,Eola Hotel Grill
Safari Grill,Safari Grill
S.S. Lurline,S.S. Lurline
Sacher Restaurant,Sacher Restaurant
Governor Shepherd Restaurant,Governor Shepherd Restaurant
Sheraton East,Sheraton East
Trenton Country Club,Trenton Country Club
Harvey's Famous Restaurant,Harvey's Famous Restaurant
The Apple Tree Restaurant,The Apple Tree Restaurant
'M.V. \Georgic\''''','m.V. \georgic\'''''
Rheinpfalz Weinstuben Frankfurt,Rheinpfalz Weinstuben Frankfurt
Fleur De Lis Restaurant,Fleur De Lis Restaurant
Town And Country Restaurant,Town And Country
Charles,Charles
'Harry M. Stevens,'harry M. Stevens
Restaurant Gondolen,Restaurant Gondolen
Blanch's,Blanch's
Old English Grill,Old English Grill
Billy The Oyster Man,Billy The Oyster Man
The Belvedere,The Belvedere
S.S. American Banker,S.S. American Banker
'M/S ''Pilsudski''''''','m/s ''pilsudski'''''''
The Chemists' Club,The Chemists' Club
'Pavillon D'orient,'pavillon D'orient
CafÃ© Lafayette,Cafe Lafayette
United States Ship Wyoming,United States Ship Wyoming
U.S.S. Wyoming,U. S. S. Wyoming
Aztec Restaurant,Aztec Restaurant
Hannaberry & Moran,Hannaberry & Moran
Heuther & Steffens,Heuther & Steffens
Meyer's Hotel,Meyers Hotel
Drake's,Drake's
The Annex,The Annex
Los Angeles Athletic Club,Los Angeles Athletic Club
Ye Olde Cheshire Cheese,Olde Cheshire Cheese Chop House
Child's,Childs'
Broadway Tabernacle Church,Broadway Tabernacle Church
Hotel Worthy,Hotel Worthy
Hotel Copley-Plaza,Copley Plaza Hotel
Atlantic Yacht Club,Atlantic Yacht Club
NORDDEUTSCHER LLOYD BREMEN,Bremen Norddeutscher Lloyd
NATIONAL ASSOCIATION OF MANUFACTURERS OF THE UNITED STATES OF AMERICA,National Association Of Manufacturers Of The United States Of America
LONG BEACH HOTEL,Long Beach Hotel
PENNSYLVANIA TOURS TO THE GOLDEN GATE,Pennsylvania Tours To The Golden Gate
CHAS.BRADLEY'S OYSTER & DINING ROOM,Chas.Bradley's Oyster & Dining Room
CATSKILL MOUNTAIN HOUSE,Catskill Mountain House
MACY'S,Macy's
HENRY R. CAPLAN,Henry R. Caplan
VAN LIEW'S RESTAURANT,Van Liew's Restaurant
GRAND COMMANDERY OF THE STAT OF NY,Grand Commandery Of The Stat Of Ny
KING HAAKON VII,(king Haakon Vii)
ANGLO-AMERICAN LODGE,Anglo-american Lodge
NATIONAL WHOLESALE LUMBER DEALERS ASSOCIATION,National Wholesale Lumber Dealers Association
BROOKLYN DEMOCRATIC CLUB,Brooklyn Democratic Club
NEW YORK SOUTHERN SOCIETY,New York Southern Society
KING KARL AND QUEEN OLGA OF WURTEMBERG,King Karl And Queen Olga Of Wurtemberg
AMERICAN COTTON MANUFACTURERS ASOCIATION,American Cotton Manufacturers Asociation
ADELPHI HOTEL,Adelphi Hotel
FRIENDS OF GEO. HECTOR CLEMES,Friends Of Geo. Hector Clemes
STEWART'S;,Stewart's;
ASSOCIATED STUDENTS OF CARROLL BREWSTER,Associated Students Of Carroll Brewster
(COMPAGNIE GENERALE TRANSATLANTIC?),Compagnie General Transatlantique
THE OREGON AND WASHINGTON LUMBER MANUFACTURERS' ASSOCIATION,The Oregon And Washington Lumber Manufacturers' Association
NEW YORK FREE TRADE CLUB,New York Free Trade Club
GRAND LODGE OF NORWAY,Grand Lodge Of Norway
LYDIA F. WADLEIGH AAOCIATION,Lydia F. Wadleigh Aaociation
MEMBERS OF LEGISLATURE OF THE BAHAMAS,Members Of Legislature Of The Bahamas
(WALDORF-ASTORIA?),(waldorf-astoria)
FREDERIK VIII,Frederik Viii
(AMERICAN COLONY CLUB?),(american Colony Club?)
MEYERS HOTEL,Meyers Hotel
BODIES OF THE RITE,Bodies Of The Rite
SOCIETA'LA PIEMONTESE,Societa La Piemontese
OLD SETTLERS' CLUB,Old Settlers' Club
FRIENDS OF MR. JOSEPH B.WITMAN,Friends Of Mr. Joseph B.Witman
A l'Ecu de France,A L'ecu De France
Wheeler & Co.,Wheeler & Co.
Refectorium,Refectorium
Krogs Fiskerestaurant,Krogs Fiskerestaurant
La Bucherie,La Bucherie
Palmengarten Nordeingang,Palmengarten Nordeingang
Gosman's Dock,Gosman's Dock
Atles Gasthaus Leve,Atles Gasthaus Leve
Yee Hop's,Yee Hop's
Uknown,Unknown
'Testimonial Dinner,'testimonial Dinner
'The Mahat Asram,'the Mahat Asram
North German Lloyd,North German Lloyd
Gaylord's,Gaylord's
The New York City Community College,The New York City Community College
Fuhrmanns Stube,Fuhrmanns Stube
CafÃ© American,Cafã© American
Trapp Family Lodge,Trapp Family Lodge
'\The Manor\''''','\the Manor\'''''
The Sea Horse Restaurant,The Sea Horse Restaurant
Im StapelhÃ¤uschen,Im Stapelhã¤uschen
'Terrace Room,'terrace Room
Hotel EuropÃ¤ischer Hof,Hotel Europaischer Hof
Von's,Von's
Hotel Gehrhus,Hotel Gehrhus
Waterfort,Waterfort
Hotel Ritz   Lisboa,Hotel Ritz   Lisboa
R.M.S. Mauretania,'r.M.S. \mauretania\'''''
Brockles' Restaurant,Brockles' Restaurant
Guy Lomabard's East Point House,Guy Lomabard's East Point House
Bundeshaus Restaurant,Bundeshaus Restaurant
La Colombe D'or,La Colombe D'or
Hohensalzburg,Hohensalzburg
The New York Public Library,The New York Public Library
George Washington Hotel,George Washington Hotel
S.S. President Wilson,S.S. President Wilson
The Stockholm Restaurants,The Stockholm Restaurants
Alexandra,Alexander
Ussr Pavillion Restaurant,Ussr Pavillion Restaurant
Theatercafeen,Theatercafeen
Clinton House,Clinton House
Hotel General Wayne,Hotel General Wayne
LarrÃ©'s,Larrã©'s
'Paquebot ''Normandie''''''','paquebot ''normandie'''''''
Vanderbilt Studios Inn,Vanderbilt Studios Inn
The Elks Club,The Elks Club
The Ross Dining Rooms   Methodist Building,The Ross Dining Rooms   Methodist Building
Cosmos Club,Cosmos Club
Hotel Copley Plaza,Copley Plaza Hotel
Murray's Roman Gardens,Murray's Roman Gardens
Tokyo Club,Tokyo Club
Bensonhurst Yacht Club,Bensonhurst Yacht Club
A.H.Meyer Rathskeller,A.H. Meyer Rathskeller
Pilgrim's Bakery and Restaurant,Pilgrim's Bakery And Restaurant
Intercolonial Railway,Intercolonial Railway
Greenhut-Siegel Cooper Co. Tea Room,Greenhut-siegel Cooper Co.
Stauch's,Stauch's
REPUBLICAN HOUSE,Republican House
PENNSYLVANIA RAILROAD,Pennsylvania Railroad
NEW YORK ATHLETIC CLUB,New York Athletic Club
PARK AVENUE HOTEL,Park Avenue Hotel
HOTEL MANHATTAN,Hotel Manhattan
YE HOTEL COLONIAL,Ye Hotel Colonial
U.S.A.(ARMY) TRANSPORT WARREN,U.S. Army Transport
GENERAL DUNDAS,General Dundas
MENZIE'S HOTEL,Menzie's Hotel
PALACE HOTEL RESTAURANT AND LADIES GRILL ROOM,Palace Hotel Restaurant
RAYMOND & WHITCOMBIS TOURS,Raymond & Whitcombis Tours
HOTEL CADILLAC,Hotel Cadillac
ROYAL PALACE HOTEL,Royal Palace Hotel
GRILL ROOM,Grill Room
OLYMPIC CLUB,Olympic Club
ALUMNI ASSOCIATION OF THE CUMBERLAND STREET & BROOKLYN HOMEOPATHIC HOSPITALS,Alumni Association Of The Cumberland Street & Brooklyn Homeopathic Hospitals
METROPOLITAN LIFE INSURANCE COMPANY,Metropolitan Life Insurance Company
CURRAHEE CLUB,Currahee Club
THE BUSINESS MEN OF NEW YORK,The Business Men Of New York
TREASURERS CLUB OF AMERICA,Treasurers Club Of America
ENGINEERS' CLUB,(engineers Club)
ROBERT E. PEARY,Robert E. Peary
(ADMIRAL LACOMBE?),(admiral Lacombe?)
H.M.PARAMINDR MAHA CHULALONGKORN-KING OF SIAM,H.M.Paramindr Maha Chulalongkorn-king Of Siam
METROPOLITAN HOTEL,Metropolitan Hotel
THIRTEEN CLUB,Thirteen Club
GERMAN AMERICAN CHARITY BALL,German American Charity Ball
CLASS OF 1877 HARVARD COLLEGE,Class Of 1877 Harvard College
BRITISH SCHOOLS AND UNIVERSITIES CLUB OF NEW YORK,British Schools And Universities Club
(RALPH LESSEE),(ralph Lessee)
MILITARY ORDER OF THE LOYAL LEGION OF THE UNITED STATES COMMANDERY OF THE STATE OF MINNESOTA,Military Order Of The Loyal Legion Of The United States Commandery Of The State Of Minnesota
AMERICAN CHAMBER OF COMMERCE OF PARIS COMMISSION FOR THE EXPOSIION OF 1900,American Chamber Of Commerce
MAGDEBURGER LIEDERTAFEL,Magdeburger Liedertafel
BRITISHSCHOOLS AND UNIVERSITIES CLUB OF NEW YORK,British Schools And Universities Club
FLUSHING INSTITUTE ASSOCIATION,Flushing Institute Association
MANSION,Mansion
NEW YORK LIFE INSUANCE COMPANY,New York Life Insuance Company
CHAMBRE DE COMMERCE FRANCAISE DE NEW YORK,Chambre De Commerce Francaise De New York
CALEDONIAN SOCIETY,Caledonian Society
(FIVE O'CLOCK CLUB PHILADELPHIA),(five O'clock Club Philadelphia)
HIBERNIAN SOCIETY OF PHILADELPHIA,Hibernian Society Of Philadelphia
LEGISLATIVE CORRESPONDENTS' ASSOCIATION,Legislative Correspondents' Association
OLD POODLE DOG RESTAURANT,Old Poodle Dog Restaurant
ILLINOIS SOCIETY OF THE SONS OF THE REVOLUTION,Illinois Society Of The Sons Of The Revolution
HOTELS SCHWEIZERHOF & LUZERNERHOF,Hotels Schweizerhof & Luzernerhof
CHICAGO AND ALTON RR,Chicago And Alton Rr
JACOB KNOOP SOHNE WEINSTUBEN,Jacob Knoop Sohne Weinstuben
JOHN J. PETIT OF BROOKLYN,John J. Petit Of Brooklyn
PRINCE AND PRINCESS OF WALES,Prince And Princess Of Wales
FRATERNAL UNION OF ANNIONTED HIGH PRIESTS OF NEW YORK STATE,Fraternal Union Of Annionted High Priests Of New York State
JOHN R. WATERS TO ADVISORY COMMITTEES AT NY RECIPROCAL UNDERWRITERS,John R. Waters To Advisory Committees At Ny Reciprocal Underwriters
FIDELITY LODGE NO. 120,Fidelity Lodge No. 120
HOFFMAN CAFES,Hoffman Cafes
NEW-YORK LIFE IN GREATER NEW YORK,New-york Life In Greater New York
COLLEGE OF THE CITY OF NEW YORK,College Of The City Of New York
U.S. FLAGSHIP CHARLESTON,U.S. Flagship Charleston
WESLEYAN UNIVERSITY CLUB OF NEW YORK,Wesleyan University Club Of New York
ALUMNI CLASS OF CCNY,Alumni Class Of Ccny
Sheraton Skyline Hotel,Sheraton Skyline Hotel
Carlton Club,Carlton Club
Hotel Ritz,Hotel Ritz
La Residence,La Residence
Restaurant zum alten Rathaus,Restaurant Zum Alten Rathaus
TANTE MARGUERITE,Tante Marguerite
The Boar's Head Inn,The Boar's Head Inn
Nordeutscher Lloyd Bremen   On Board S.S. 'George Washington.,Nordeutscher Lloyd
Edwardian Room,Edwardian Room
The St. Regis Sheraton,The St. Regis Sheraton
The Tea Cosy,The Tea Cosy
Jour & Nuit,Jour & Nuit
Ratsweinkeller,Ratsweinkeller
Memorial Apts.,Memorial Apts.
The Ark,The Ark
Maitre Jacques On The Charles,Maitre Jacques On The Charles
Banff Springs Hotel,Banff Springs Hotel
Las Alamedas,Las Alamedas
Weir Cook Dining Room,Weir Cook Dining Room
'Ballroom,'ballroom
The Dining Room,The Dining Room
Hatsuhana,Hatsuhana
The Essex Hotel   The Colonnades,The Essex Hotel   The Colonnades
Manila,Manila
Costello's Restaurant,Costello's Restaurant
The White Turkey,The White Turkey
The Red Barn,The Red Barn
Furhlen Stuben,Furhlen Stuben
Legal Sea Foods,Legal Sea Foods
The Water Tower,The Water Tower
Sky Way,Sky Way
Restaurant Victoria,Restaurant Victoria
Childs,Childs'
Streamliner,Streamliner
Canterbury Inn,Canterbury Inn
The Moskowitz & Lupowitz Restaurant,The Moskowitz & Lupowitz Restaurant
Sedgefield Inn,Sedgefield Inn
Royal Alexandria Hotel,Royal Alexandria Hotel
The Bankers Club Of America,The Bankers Club Of America
Motorliner Kungsholm,Motorliner Kungsholm
The Commodore Hotel,The Commodore Hotel
R.M.S. Berengaria,R.M.S. Berengaria
The Queen's,The Queen's
Hotel Athens,Hotel Athens
Abraham and Straus,Abraham And Straus
Odd Fellows Hall,Odd Fellows Hall
Grocers' Hall,Grocers Hall
Maryland Club,Maryland Club
The Valencia,The Valencia
The Pabst,The Pabst
New York Press Club,New York Press Club
South Shore Country Club,South Shore Country Club
Hotel Washington,Hotel Washington
EVERETT HOUSE,Everett House
COMMERCIAL ORGANIZATIONS OF SAN FRANCISCO,Commercial Organizations Of San Francisco
B.& O. BLUE LINE,B.& O. Blue Line
CUVIER CLUB,Cuvier Club
PULLMAN DINING CAR SERFVICE-THE PRESIDENT,Pullman Dining Car
PURE FOOD CAFE,Pure Food Cafe
(ENGLISH HOTEL RESTAURANT),(english Hotel Restaurant)
NEW GLADSTONE,New Gladstone
THE PRESIDENT & DIRECTORS OF THE CONFEDERATION LIFE ASSOCIATION,The President & Directors Of The Confederation Life Association
BULL'S HEAD RESTAURANT,Bull's Head Restaurant
HOTEL DE L'ANGE,De L'ange Hotel
OCEANIC STEAMSHIP COMPANY -S.S.ZEALANDER,Oceanic Steamship Co.
STREETS OF MEXICO RESTAURANT,Streets Of Mexico Restaurant
THE ARMY OF THE TENNESSEE,The Army Of The Tennessee
UNIVERSAL FOOD & COOKERY ASSOCIATION (NORTH OF ENGLAND BRANCH),Universal Food & Cookery Association (north Of England Branch)
CATARACT AND INTERNATIONAL HOTELS COMPANY,Cataract And International Hotels Company
NORDDEUTSCHER LLOYD,'norddeutscher Lloyd
GOV.ROGER WOLCOTT OF MASS;,Gov.Roger Wolcott Of Mass;
(THE CHAMBER OF COMMERCE),(the Chamber Of Commerce)
AMERICAN PATRIOTIC CLUB,American Patriotic Club
xtYE TWILIGHT CLUB,Xtye Twilight Club
HARVARD CLUB OF NEW YORK CITY,Harvard Club
DENVER BAR ASSOCIATION,Denver Bar Association
NEW TIFFT HOUSE,New Tifft House
FREE TRADE CLUB,Free Trade Club
QUILL AND DAGGER CLUB,Quill And Dagger Club
NATIONAL COLLEGE OF PHARMACY ALUMNI ASSOCIATION,National College Of Pharmacy Alumni Association
(KING ALEXANDER OF SERVIA),(king Alexander Of Servia)
(SIMPSON TIMBER),(simpson Timber)
M.F. LOYNS DINING ROOMS,M.F. Loyns Dining Rooms
THE GRADUATES CLUB OF NEW YORK CITY,The Graduates Club Of New York City
HAMBURG - AMERIKA LINIE,Hamburg-america Line
THE THORNDIKE,The Thorndike
FRENCH CIRCLE,French Circle
KNIGHTS TEMPLAR COOK CO.,Knights Templar Cook Co.
PRESIDENT FALLIERES,President Fallieres
NASHVILLE CHAMBER OF COMMERCE & RETAIL MERCHANTS ASSOCIATION,Nashville Chamber Of Commerce
THE ECONOMIC CLUB OF NEW HAVEN,The Economic Club
WORSHIPFUL COMPANY OF CUTLERS,Worshipful Company Of Cutlers
COACHING CLUB,Coaching Club
INTERNATIONAL ASSOCIATION OF MACHINISTS,International Association Of Machinists
TYN-Y-COED,Tyny Coed
FRANKLIN CLUB,Franklin Club
CAFE LAFAYETTE,Cafe Lafayette
ALGAZAR HOTEL,Alcazar Hotel
JULIUS G. HARTMANN,Julius G. Hartmann
'95 LAW OF COLUMBIAN UNIVERSITY,'95 Law Of Columbian University
COLUMBIA CASINO RESTAURANT,Columbia Casino Restaurant
Holland-America Line,Holland-America Line
White Tower Restaurant,White Tower Restaurant
Hotel im Palais Schwarzenberg,Hotel Im Palais Schwarzenberg
Um Rauchtang,Um Rauchtang
Le Moulin D'Orgemont,Le Moulin D'orgemont
Hotel zur Krone,Hotel Zur Krone
Star of the Sea Room,Star Of The Sea Room
Restaurant Laurent,Restaurant Laurent
Wabash,Wabash
Ruby Foo's ,Ruby Foo's 
'Supper Menu,'supper Menu
Smithville Inn,Smithville Inn
Speisenkarte,Speisenkarte
LÃ¼chow's Restaurant,Luchow's Restaurant
Stebbin's Patio Grill,Stebbin's Patio Grill
Washington Arms,Washington Arms
Justine's,Justine's
The Butler's Canvasback Inn,The Butler's Canvasback Inn
The Ballroom At Hotel Plaza,The Ballroom At Hotel Plaza
The Concord,The Concord
Lum Engel,Lum Engel
Carlton Hotel,Carlton Hotel
Barbizon Plaza,Barbizon Plaza
Triangle Hofbrau Restaurant,Triangle Hofbrau Restaurant
Toffenetti Restaurant,Toffenetti Restaurant
Chateau Tongariro,Chateau Tongariro
'M.S.''Colombia''''''','m.S.''colombia'''''''
Mayflower Hotel,Mayflower Hotel
Le Petit Palais,Le Petit Palais
Michigan Central Railroad,Michigan Central Railroad
The Pennsylvania Lunch,The Pennsylvania Lunch
The Mouquin Restaurant and Wine Co.,The Mouquin Restaurant And Wine Co.
Delmonico's,Delmonico's
 De Luxe', De Luxe'
Chin Lee Co. First Class Chop Sooey and American Restaurant,Chin Lee Co. First Class Chop Sooey And American Restaurant
Plankinton House,Plankinton House
ImpÃ©rial Hotel,Impã©rial Hotel
Deutsche Liederkranz,Deutsche Liederkranz
CANADIAN PACIFIC RAILWAY COMPANY,Canadian Pacific Railway Co.
REVERE HOUSE,Revere House
DISTRICT NO.3 CATHOLIC BENEVOLENT LEGION,District No.3 Catholic Benevolent Legion
UNION PACIFIC DINING CAR SERVICE,Union Pacific Dining Car Service
GRAND UNION HOTEL,Grand Union Hotel
GRISWOLD HOUSE,Griswald House
WHITE STAR LINE,White Star Line
METROPOLE HOTEL,Hotel Metropole
PENNSYLVANIA LIMITED - THE PULLMAN CO.,Pennsylvania Limited
HAMBURG-AMERIKA LINIE - EXPRWSS-STEAMER FURST BISMARCK,Hamburg-america Line
NORDDEUTSCHER LLOYD BREMAN,Nordeutscher Lloyd
RED STAR LINE - ANTWERPEN -NEW YORK,Red Star Line - Antwerpen  - NY
RED STAR LINE -,Red Star Line
GRAND OFFICERS' MESS,Grand Officers' Mess
DUVAL'S,Duval's
238 EIGHT AVENUE,(238 Eight Avenue)
POLAND SPRING HOUSE,Poland Spring Hotel
THE LINCOLN CLUB,The Lincoln Club
SINCLAIR HOUSE;,Sinclair House;
GRAND HOTEL DU QUIRINAL,Grand Hotel Du Quirinal
REPUBLICAN CLUB OF THE CITY OF NEW YORK,Republican Club
HERTFORD COLLEGE,Hertford College
LOS ANGELES CHAMBER OF COMMERCE,Los Angeles Chamber Of Commerce
THE DUFFERIN,The Dufferin
L. LAFLIN KELLOGG,L. Laflin Kellogg
DENNIS HOTEL,Dennis Hotel
PLEAIDES CLUB,Pleaides Club
SHANLEY'S,Shanley's
PAUL SMITH'S,Paul Smith's
UNIVERSALIST CLUB,Universalist Club
DENNETT'S,Dennett's
BANKERS' CLUB OF CHICAGO,Bankers Club
PLAZA,Plaza
ASHTON HOTEL,Ashton Hotel
ATHELSTAN CLUB,Athelstan Club
WESTERN PAPER BOX MAKERS ASSOC'N.,Western Paper Box Manufacturers Association
GRAND DUKE OF HESSE DARMSTADT,Grand Duke Of Hesse Darmstadt
CITIZENS OF ST. PAUL,Citizens Of St. Paul
THE UNIVERSALIST CLUB,The Universalist Club
(KING EDWARD VII),King Edward VII
HOTEL WALTON,Hotel Walton
THE POMHAM CLUB,The Pomham Club
SENATE OF THE STATE OF NEW JERSEY,Senate Of The State Of New Jersey
DAUGHTERS OF THE AMERICAN REVOLUTION,Daughters Of The American Revolution
RHODE ISLAND WOMEN'S CLUB,Rhode Island Women's Club
SOUTHERN BERKSHIRE SOCIETY OF NEW YORK,Southern Berkshire Society Of New York
CINCINNATI LODGE OF ELKS NO. 5,Cincinnati Lodge Of Elks No. 5
CONNECTICUT HOTEL ASSOCIATION,Connecticut Hotel Association
W.B.VEIRS ESQ.,W.B.Veirs Esq.
WISCONSIN SOCIETY - SONS OF THE AMERICAN REVOLUTION,Wisconsin Society - Sons Of The American Revolution
SCHOOL BOARD OF NEW ORLEANS,School Board Of New Orleans
WESTMINSTER KENNEL CLUB,Westminister Hotel
UNITARIAN CLUB OF NEW YORK,Unitarian Club Of New York
5TH MASS. BATTERY E.,5th Mass. Battery E.
UNION LEAGUE OF MARYLAND,Union League Of Maryland
THE CORINTHIAN YACHT CLUB,The Corinthian Yacht Club
J.C. HARTMANN'S RESTAURNT AND CAFE,J.C. Hartmann's Restaurnt And Cafe
GENEVA SOCIETY-INTERNATIONAL SOCIETY OF HOTEL EMPLOYEES,Geneva Society-international Society Of Hotel Employees
HOTEL NETHRLAND,Hotel Netherland
THE EVENING WORLD STAFF,The Evening World Staff
NEW YORK MEDICAL UNION,New York Medical Union
PROFESSOR CESARE VIVANTE,Professor Cesare Vivante
PORTLAND COMMERCIAL CLUB,Portland Commercial Club
'97S CLASS DINNER,'97s Class Dinner
MARTINSVILLE SANITARIUM,Martinsville Sanitarium
FRANKFURTER HOF,Frankfurter Hof
UNION LEAGUE CLUB OF SAN FRANCISCO,Union League Club Friends
ARARAT TEMPLE A. A. O. N. M. S.,Ararat Temple A. A. O. N. M. S.
GENERAL KUROKI,General Kuroki
HEADQUARTERS NINTH U.S. CAVALRY OFFICER'S MESS,Headquarters Ninth U.S. Cavalry Officer's Mess
TYPOTHETAE OF THE CITY OF NEW YORK,Typothetae Of The City Of New York
POINT O'WOODS ASSOCIATION,Point O'woods Association
Restaurante Tipico,Restaurante Tipico
Restaurant Royal,Restaurant Royal
Hotel Goldener Hirsch,Hotel Goldener Hirsch
Hotel Imperial,Hotel Imperial
Hotel de La Tremoille,Hotel De La Tremoille
Claude's,Claude's
Fischereihafen Restaurant,Fischereihafen Restaurant
Romantik Hotel Rose,Romantik Hotel Rose
Hotel Bachmair,Hotel Bachmair
Ruby Foo's Sun Dial,Ruby Foo's Sun Dial
Compagnie GeÌ�neÌ�rale Transatlantique,Compagnie General Transatlantique
CafÃ© Conditorei Restaurant,Cafã© Conditorei Restaurant
The House Of Lords,The House Of Lords
The San Marcos Resort And Country Club,The San Marcos Resort And Country Club
Grison's Restaurant,Grison's Restaurant
Moultray's Polynesian,Moultray's Polynesian
Tejas,Tejas
Alberg Inn,Alberg Inn
Hotel Und Restaurations Betriebe August Giele & SÅ‘hne,Hotel Und Restaurations Betriebe August Giele & Så‘hne
Stage Delicatessen And Restaurant,Stage Delicatessen And Restaurant
Patisserie Lanciani,Patisserie Lanciani
Pensione Ristorante,Pensione Ristorante
Keiller Restaurant,Keiller Restaurant
Volk's Restaurant,Volk's Restaurant
Hotel Statler,Hotel Statler
Oustau De Baumaniere,Oustau De Baumaniere
Cocoanut Grove,Cocoanut Grove
Roger Smith Restaurant,Roger Smith Restaurant
Town And Country,Town And Country
Burlington Route,Burlington Route
Hotel Claremont,Claremont Hotel
Patten Restaurant,Patten Restaurant
Burlington Club,Burlington Club
Constantine's Restaurant,Constantine's Restaurant
Royal Hawaiian Moana Hotel,Royal Hawaiian Moana Hotel
S.S. Washington,S.S. Washington
The Carolina Inn,The Carolina Inn
Hotel Roosevelt,Hotel Roosevelt
Hotel Buffalo,Hotel Buffalo
'S.S. ''California''''''','s.S. ''california'''''''
The Brown Palace Hotel,The Brown Palace Hotel
The Washington Hotel,The Washington Hotel
Connaught Rooms,Connaught Rooms
College Inn Chicago,College Inn Chicago
Clarendon Hotel,Clarendon Hotel
Greehut-Siegel Cooper Co.,Greehut-siegel Cooper Co.
Lion D'or Table D'Hote,Lion D'or Table D'hote
Louis Martin's,Louis Martin's
[Not Given],[not Given]
Barker's Restaurant and Lunch Room,Barker's Restaurant And Lunch Room
Ulmer Park,Ulmer Park
N.C.R. Officers Club,N.C.R. Officers Club
Hotel Rector,Hotel Rector
PULLMAN DINING CAR,Pullman Dining Car
CANADIAN PACIFIC RAILWAY CO. - S.S. ALBERTA,Canadian Pacific Railway Co.
PHONIX HOTEL,Hotel Phonix
TWENTIETH CENTURY ALDERMANIR ASSOCIATION,Twentieth Century Aldermanic Association
BOROUGH HALL,Borough Hall
OLD GUARD ALBANY ZOUAVE CADETS,Albany Zouave Cadets
CHANCELLOR WALWORTH LODGE NO. 271 F.&A.M.,Chancellor Walworth Lodge No. 271 F.&a.M.
THE NAVY YARD,The Navy Yard
THE FLORIDA BREWING CO.,The Florida Brewing Co.
PENN. RR - PULLMAN DINING CAR SERVICE,Penn Rr - Pullman Dining Car Service
CIE. GLE. TRANSATLANTIQUE,Cie Gle Transatlantique
CREDIT MENS' ASSOCIATIOOOON OF BALTIMORE,Credit Mens' Associatioooon Of Baltimore
HOTEL ASPINWALL,Hotel Aspinwall
HOTEL DE DIJON,Hotel De Dijon
CINCINNATI'S GRAND HOTEL,Cincinnati's Grand Hotel
BETA PI,Beta Pi
HALLORAN'S RESTAURNT,Halloran's Restaurnt
OCEAN HOUSE,Ocean House
DEMOCRATS OF DALLAS COUNY,Democrats Of Dallas Couny
